figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,"dashed area. g, 3D-printed heat-resistant components by LPBF.",0.3853,low,"The feedstock powders observed in the SEM images are uniformly distributed in terms of particle size and showed spherical and agglomerated shapes, which is the typical shape of the spray-granulating suitable for APS technology.",0.382552,low,"The microstructures of the powder and as-printed samples were analyzed via scanning electron microscopy (SEM, Zeiss Sigma 300), transmission electron microscopy (TEM, Tecnai G2 F30), and electron backscattered diffraction (EBSD,",0.382434,low,"The morphologies of polished and fractured surfaces of the composites were characterized using a scanning electron microscope (SEM, S-2700, Hitachi, Japan), connected with an energy dispersive spectroscope (EDS).",0.378704,low,"X-ray diffraction (XRD) patterns and scanning electron microscope (SEM) images confirmed the spherical morphology of both powders, with FCC and BCC phases in CoCrNi and CoCrNiAl0.6TiFe, respectively.",0.378006,low,"General morphology and internal porosity of powder particles and as-printed samples were visualized with a Bruker SkyScan1272 micro-computed tomography scanner (μCT) at 100 kV and 100 μA and a 0.11 mm Cu filter, averaging of 10 frames, and angular range of 0—180° with 0.2°—0.3° steps."
chart_0001,2,../02_images/figures/chart_0001.jpg,d; Fi,0.399685,low,Li et al.[19] fabricated a novel AlMgScZr alloy by LPBF and achieved a yield strength of,0.397715,low,"For instance, Li et al.[10] developed a high-strength AlMgSiScZr alloy by adjusting Mg content, and the heat-treated sample exhibited an ultimate tensile strength (UTS) of 550 MPa and an elongation (ε) of 8%.",0.395851,low,"Interestingly, Zhou et al.[25] proposed an LSP-assisted AM process to fabricate a highly dense AlSi10Mg alloy with excellent strength and plasticity.",0.390799,low,"Consequently, our findings contribute to an enhanced understanding of the high-temperature behavior exhibited by the LPBF-fabricated Al-Cu-Li-Sc-Zr alloy, thereby facilitating the design of new aluminum alloys for potential applications at high temperatures.",0.38912,low,We further examined the ambient-temperature tensile properties of these novel AM-fabricated CoNiCrFeAlTi-based HEAs.
chart_0002,3,../02_images/figures/chart_0002.jpg,Fi STEM temperature to elevated temperatures after prolonged thermal exposure.,0.385533,low,"We propose that with increasing sintering temperature from 1280 to 1300 °C, (1) grain coarsening occurs, (2) alloying elements segregate in the grain boundaries, (3) Laves phase forms at the grain boundaries enriched with Nb and Mo, (4) NbC form in the matrix, all resulting in decreasing UTS and yield stress, similarly to the microhardness and supported by microstructural observations.",0.382779,low,"As mentioned above, PCS derived SiC was not thermally stable at a temperature above the preparation temperature, so the degradation of SiC fiber and PIP SiC matrix was inevitable.",0.380623,low,"To maintain strength at higher temperatures, a coarseningresistant microstructure is required.",0.379011,low,"PVDF-HFP SPE exhibited an endothermic peak at ${ 1 3 8 } ^ { \circ } \mathrm { C } ,$ whereas the melting points of LAZTP 50% HSE and LAZTP Dual HSE correspondingly decreased to $1 2 7 ~ ^ { \circ } \mathrm { C }$ and ${ 1 3 0 ~ ^ { \circ } \mathrm { C } } .$ The decrease in Tm indicates reduced polymer crystallinity due to the plasticizing effect of oxide fillers, which increases the amorphous phase fraction and facilitates $\mathrm { L i ^ { + } }$ conduction, improving the ionic conductivity of the solid electrolyte [41,42].",0.373136,low,This strategy delivers high-performance materials for hightemperature structural applications and establishes a new pathway applicable to other systems for enhancing mechanical properties across a wide temperature range.
