figure_id,figure_index,figure_path,caption,rank,score,cosine_score,confidence,text_token_id,source,text
chart_0000,1,../02_images/figures/chart_0000.jpg,"FIG U R E 1 Number of publications (including preprints) per year using graphics processing units molecular dynamics, up to June 14, 2025.",1,0.365851,0.315851,low,paper::sent::22,text_item,Research efforts aimed at designing new Al-based conductor alloys have increased steadily in recent years.
chart_0000,1,../02_images/figures/chart_0000.jpg,"FIG U R E 1 Number of publications (including preprints) per year using graphics processing units molecular dynamics, up to June 14, 2025.",2,0.362513,0.312513,low,paper::sent::31,text_item,"The NEP approach underwent several improvements[7,23,24] from 2021 to 2024."
chart_0000,1,../02_images/figures/chart_0000.jpg,"FIG U R E 1 Number of publications (including preprints) per year using graphics processing units molecular dynamics, up to June 14, 2025.",3,0.36013,0.31013,low,paper::sent::6,text_item,"Additive Manufacturing (AM) of complex components based on nickel-based superalloys is increasingly adopted in the aerospace and energy sector [1,2]."
chart_0000,1,../02_images/figures/chart_0000.jpg,"FIG U R E 1 Number of publications (including preprints) per year using graphics processing units molecular dynamics, up to June 14, 2025.",4,0.354718,0.304718,low,paper::sent::32,text_item,"The rapid growth in the popularity of GPUMD in recent years has been driven to a large extent by the development of the NEP approach, which provides highly efficient and accurate potential models for a wide range of materials[25]"
chart_0000,1,../02_images/figures/chart_0000.jpg,"FIG U R E 1 Number of publications (including preprints) per year using graphics processing units molecular dynamics, up to June 14, 2025.",5,0.353351,0.303351,low,paper::sent::7,text_item,Laser powder bed fusion (LPBF) of aluminum alloys is rapidly evolving in recent years [13].
