figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
chart_0000,1,../02_images/figures/chart_0000.jpg,"(d); Testing temperature (; with other LPBF-fabricated aluminum alloys (AI-Ce-Mn [14], AI-Cu-Mn-Zr [20], $A l - C u - M n - Z r + T i O _ { 2 }$ [15], AI-Mg-Zr [9], AI-Mg-Si-Sc-Zr [10], Al-Si-Mg [18, 19], Al-Si-Mg + TiCN [16], Al-Ti-Cu-Mg-B-Ni-Fe [29]).",0.380986,low,"To investigate the effects of Cu on the elemental distribution at the atomic scale, we performed the APT analyses on the Cu-free and Cucontaining steels.",0.370724,low,"However, for the AM samples, owing to the increase of NbC carbides from almost 0 % in sample AM20m to 0.36 % in sample AM12h (Table 3), it can be inferred that the formation of NbC is due to the accumulation of Nb near the NbC nuclei.",0.370157,low,"Goel et al. observed a higher number density of fine carbides associated with the multi-spot melt strategy [26], However, to the best of the authors' knowledge, no work has been done on TiAl using the multi-spot melt strategy.",0.365969,low,"Yang et al. [28] achieved significantly refined columnar grains separated by sub-micron equiaxed grains in LPBF-fabricated Al-Mg-Sc-Zr alloys by adding 1.08 wt.% Sc, linking the ultrafine grain formation to ${ \sf A l } _ { 3 } { \sf S c }$ particles in the remelting zone.",0.365372,low,"S3) of the Al-Zr-Ce-Cu alloy indicates that a slight hardness increase (\~10 HV) occurs at $3 5 0 ^ { \circ } \mathrm { C } ,$ with near-peak aging condition achieved at 375 C."
chart_0001,2,../02_images/figures/chart_0001.jpg,(h); size statistical graph; (d) and (h) columnar grain size statistical graph.,0.414355,medium,The grain characteristics such as average grain size and grain size distribution of samples AC1h and AC12h are calculated from the 2500 µm × 2500 µm mappings.,0.413172,medium,"The average diameter for columnar grains in the EPBF processed Inconel 625 was measured at \~ 10 µm in size, although the average grain length was not reported.",0.407763,medium,No discernible Zr segregation was observed in either the equiaxed grain or columnar grain area of the AF sample.,0.407729,medium,"With Sc and Zr contents increasing, the columnar grains became finer and shorter, and the amount of equiaxed grains increased.",0.406866,medium,"Statistical results revealed that the average sizes of fine equiaxed grains were measured to be 1.49 µm for the AF sample and 1.53 µm for the HT sample, while the average sizes of coarse columnar grains were found to be 1.84 µm for the AF sample and 1.76 µm for the HT sample."
chart_0002,3,../02_images/figures/chart_0002.jpg,"Figure 4. Diffusion coefficients of Cu, Sc, Zr, Mg, Si, and Zn in Al at different temperatures.",0.572375,high,"XPS demonstrated a progressive transition from mixed TiO2/Al203 (46.02 %/53.98 %) to Al2O3- dominated (82.11 %) surface oxides after 70 cycles, accompanied by $\mathrm { T i } ^ { 3 + } / \mathrm { C r } ^ { 3 + }$ enrichment and Al-0 peak shifts (531.75 → 532.02 eV), indicative of oxide densification (S-Figs. 4, 5).",0.558216,high,"Fig. 4ad presents the mechanical properties of CF/PEI composites modified with different sizing agents, including interlaminar shear strength (ILSS) and flexural strength.",0.557656,high,Figure 4 presents the morphology and corresponding EDS analysis of the trilayer coating at distinct stages of the 1450 $^ \circ \mathrm { C }$ thermal cycling tests.,0.557549,high,"According to the temperature distribution map (Fig. 4(b)), it is observed that the temperature in the central part of the white atoms region reaches 3500 K, which is the boiling point of the material.",0.556851,high,"Based on the parameters listed in Table S1, we calculated the temperaturedependent diffusion coefficient of various elements in Al and presented them in Figure 4."
