figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0000,1,../02_images/figures/image_0000.jpg,"Fig. 1. a) Top view, and b) and c) side views of the micro-shear specimen of B100C20.",0.557077,high,The typical SEM morphologies of the micro-shear specimen are shown in Fig. 1.,0.553513,high,Fig. 1 provides the microstructural characterization of the H230 and H230AM samples.,0.553233,high,Fig. 1 demonstrates the initial microstructure in the dendrite cores and interdendritic regions of alloys T0 and T5 obtained after the complete heat treatment.,0.551393,high,Fig. 1 shows an image of representative tensile sample.,0.550406,high,Fig. 1 summarizes the typical as-fabricated microstructures of the AM Al-Zr-Ce-Cu alloy.
chart_0001,2,../02_images/figures/chart_0001.jpg,"Fig. 4. Coefficient of thermal expansion of B100C40, B100C20 and the PIP ${ \mathrm { S i C } } _ { \mathrm { f } } / { \mathrm { S i C } } .$",0.575405,high,"We obtained results for the STGB and ATGB by the PFC method with a temperature cycling frequency of $3 . 7 \times 1 0 ^ { 3 } \ \mathrm { s ^ { - 1 } }$ (the absolute value of the temperature is a phenomenological parameter in PFC; table S4) (Fig. 4, E and F).",0.570934,high,"IPF figures obtained using EBSD for specimens manufactured at 0°, 30° and $9 0 ^ { \circ }$ are presented in Fig. 4.",0.560508,high,XRD data of annealed SiC fibers and annealed SiC matrix at 9001400 °C for 1 h in Ar atmosphere are shown in Fig. 4.,0.560011,high,The HR TEM images showed that the order degree of BN interphase increased with increase in PIP temperature (Fig. 4).,0.556628,high,"To determine the appropriate sintering temperature range for our samples, the powder DSC measurements (Fig. 4) were analyzed show ing that melting begins at $1 3 0 4 ^ { \circ } \mathrm { C }$ and ends at 1334 °C, which is in the range of reported values of cast alloy 625 materials between 1290 and $1 3 5 0 ^ { \circ } \mathrm { C }$ [11] and close to the solidus of $1 2 9 4 ^ { \circ } \mathrm { C }$ for an alloy 625 powder reported by Simchi [17]."
chart_0002,3,../02_images/figures/chart_0002.jpg,Fig. 5. Relationship between compressive stress of SiC fiber and volume fraction of PIP SiC matrix.,0.57735,high,"Fig. 5 also shows that the compressive stress increases with increasing the volume fraction of PIP SiC matrix when PIP SiC content is more than 19.1 %, which illustrates that the PIP process may cause a larger compressive stress than the CVI process.",0.570544,high,The grain size distribution in the PBF-EB samples was also more uniform than that in the PBF-LB samples (Fig. 5(c) and 5(d)).,0.570267,high,"Compared with the PBF-LB samples, the average grain diameter of the β phase in the PBF-EB samples was reduced by approximately 30 %, as shown in Fig. 5(a) and 5(b), and Table 2.",0.560214,high,"In order to further interpret the appearance of second exothermal peak in the DSC curves, the phase compositions of YbDS-YbMS and YbMS coatings during heat treatment was detected by XRD, as shown in Fig. 5.",0.554492,high,Fig. 5 shows the weight loss of SiC matrix and SiC fibers after annealing at $9 0 0 { - } 1 4 0 0 ^ { \circ } \mathrm { C }$ for 1 h.
chart_0003,4,../02_images/figures/chart_0003.jpg,Fig. 6. Typical shear stress-displacement curve of B1ooc20 marked with details.,0.584191,high,Fig. 6 shows the typical shear stress-displacement curve of B100C20.,0.579256,high,Fig. 6(b) shows the dielectric and theoretical wave-transparent performances of PBO fibers/BADCy composites under $2 5 \mathrm { - } 2 0 0 ~ ^ { \circ } C$ at $1 0 ^ { 6 }$ Hz.,0.578673,high,"Fig. 6 illustrates the trend in surface microhardness after grinding, noting that unmachined IN718 superalloy has a microhardness of 290 HV.",0.570799,high,"To further investigate the ultrafine grain structure of the cryptocrystalline region, Fig. 6 shows the nanoscale morphology characteristics and corresponding selected area electron diffraction (SAED) patterns at different depths from the ground surface; the detection diameter for SAED was 500 nm.",0.565843,high,"B100C40, B200C31, B350C12, and B350C24 have the similar shear stress—displacement behaviors with B100c20 described in Fig. 6."
chart_0004,5,../02_images/figures/chart_0004.jpg,Fig. 8. Typical shear stress—displacement curves of five samples.,0.529161,high,Fig. 8 shows the schematic diagram of four stages of thermal expansion behaviors of UD SiCf/SiC composites from room temperature to $1 4 0 0 ~ ^ { \circ } \mathrm { C }$ in Ar atmosphere.,0.526885,high,Fig. 8 shows the typical shear stress—displacement curve behaviors of five composites.,0.526297,high,"The XRD results are presented in Fig. 7, and the phase compositions are shown in Fig. 8 and summarized in Table 3.",0.522013,high,"Fig. 8 presents the macroscopic morphologies of ZC20, MC20, and",0.520836,high,Fig. 8 summarizes the calculated average GND densities.
chart_0005,6,../02_images/figures/chart_0005.jpg,Fig. 9. Typical tensile stress-strain curves of five samples.,0.580552,high,"With further increasing temperature $( > ~ 1 7 5 ~ ^ { \circ } \mathrm { C } ) ,$ the tanδ values of PBO fibers/BADCy laminated composites increase significantly, mainly attributed to the moving molecular chain segments at the glass transition interval (Fig. 9(f)).",0.571657,high,"Interestingly, as shown in Fig. 9 and Table 5, B200C31 and B350C24 contain an obvious secondary quasi—- linear elastic stage but B100C40, B100C20 and B350C12 do not.",0.560773,high,Fig. 9 shows the cross-sectional microstructure of Si/YbDS-YbMS/ YbMS/LMA coating after heat treatment at 1200 °C for 10 h.,0.56034,high,"Stress-strain (SS) curves of R1, R2 and R5 tensile-deformed at RT are shown in Fig. 9(a).",0.559857,high,"The XRD patterns of ZC20, MC20, and YC20 coatings after oxidation at $1 1 0 0 ~ ^ { \circ } \mathrm { C }$ for 100 h are shown in Fig. 9."
image_0006,7,../02_images/figures/image_0006.jpg,Fig. 10. Fracture morphologies of a) B100C20 and b) B200C31.,0.566364,high,"Combined with the SEM images of the fracture surface in Fig. 10(e) and the secondary crack near the fracture surface in Fig. 10(f), cracks appeared along the grain boundary of the β phase in this region, exhibiting brittle intergranular fracture characteristics.",0.564656,high,Secondary cracks in the CGHAZ tested at 1 Hz (Fig. 10(c and d)) propagated mainly along the martensite lath interfaces while at 0.1 Hz secondary cracking seems to take place predominantly along grain boundaries (Fig. 10(f)).,0.560211,high,"To further analyze the relationship between the microstructure and the fracture behavior of the as-printed samples, EBSD, KAM, and SEM maps near the fractures of the PBF-LB and PBF-EB samples were obtained at $6 5 0 ~ ^ { \circ } \mathrm { C } ,$ as seen in Fig. 10.",0.558813,high,Fig. 10(a) shows the microstructure at \~160 µm deep at an applied tensile strain of 0.25.,0.555417,high,"Furthermore, the proportions of cationic and metallic species of Cr, Ni, Co, Al, and Ti on the passive films of the as-printed and aged alloys are presented in Fig. 10(a, b), respectively."
chart_0007,8,../02_images/figures/chart_0007.jpg,"Repreeativecyclicreloaignldig tensil curve and ) B20, and and B100C20.",0.408814,medium,Both types of strain partitioning evolve during tensile testing due to the dependence of the γ → α′ -martensite transformation with applied tensile strains and the austenite stability of domain sizes as well.,0.389469,low,"The tensile lateral stress in the CG core promoted early $\Upsilon a ^ { \prime } .$ -martensite transformation, while the compressive stress in the gradient layers delayed TRIP to a larger applied tensile strain.",0.385357,low,"According to the EBSD results, both steels contain metastable austenite, which can transform into hard martensite during tensile deformation, significantly improving the work hardening rate through the transformation-induced plasticity (TRIP) effect.",0.384447,low,"The compressive stress at the interface also affects the tensile modulus of the composites. $\mathrm { E _ { E } / E _ { C } }$ of B350C24 and B350C12 is 74.1 % and 81.6 %, respectively.",0.382306,low,"It is worth noting that the strain gradient can be regarded as a specific explanation of the interface load transfer capacity, which may help us to further understand the mechanism of the influence of interface load transfer capacity on the mechanical properties of composites."
