figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
chart_0000,1,../02_images/figures/chart_0000.jpg,H function of applied stress.,0.381456,low,"B100C20 has much higher $\tau _ { \mathrm { i } }$ and $\tau _ { \mathrm { f } }$ than B100C40 when they have the same BN thickness, which suggests that the compressive stress of SiC fiber has a great influence on $\tau _ { \mathrm { i } }$ and $\tau _ { \mathrm { f } } .$ B350C12 and B350C24 also show the same law. $\tau _ { \mathrm { i } }$ and $\tau _ { \mathrm { f } }$ decrease with the increase of the BN thickness.",0.379462,low,"Especially, compared to the N1-LH material, yield strength of the N1-LAG material significantly increases from 481 MPa to 775 MPa while the ductility decreases but the uniform elongation remains at 38 %.",0.379175,low,"In tempered martensitic steels tested in presence of hydrogen, quasi-cleavage fracture is related to the decrease of the cohesive strength of martensitic lath interfaces due to locally accumulated hydrogen [5759].",0.377993,low,"To understand the reasons for the extraordinary creep lifetime of the H230AM, a detailed comparative analysis of the microstructure of the H230 and H230AM after the creep test at $9 0 0 ~ ^ { \circ } \mathrm { C }$ with applied 65 MPa stress was conducted.",0.377184,low,Subsequent thermal treatment gives rise to significant increases in YS (\~748 MPa) and UTS (\~1148 MPa) combined with a large ductility of \~28 %.
image_0001,2,../02_images/figures/image_0001.jpg,(022) plane. (g) Geometric phase analysis (GPA) map of horizontal normal strain $( \varepsilon _ { \mathbf { x } \mathbf { x } } )$ in the strip region.,0.375768,low,"Thus, the segregation of B atoms can improve the cohesive strength of the grain boundaries in present CCIMA and reduce the tendency of brittle morphologies of deformation substructures of the CCIMA at different strains. g, i High-resolution TEM and corresponding FFT images (insets) revealing the changes in the types of deformation substructures from APB-coupled superlattice dislocations (5%) to intersected SFs (35%). h Atomic-resolution STEM-HAADF image illustrating the existence of SISF at a strain of 15%.",0.372549,low,Microstructure and morphology characteristics analysis of the white and dark layers under SEM,0.371463,low,"Hence, the microstructural evolution has a direct influence on the stress rupture resistance of alloy ZGH451 under 760 °C/780 MPa, including the characteristics of dendrites, voids, cracks, GBs, $\gamma ^ { \prime }$ phase, and carbides.",0.371138,low,"After identifying LPBF process parameters and post-HT conditions that could lead to the production of Ti-6Al-4V alloys with high strength and ductility, microstructural analyses were conducted to validate the source of their strength and ductility; aiming to confirm whether the microstructures of the alloys produced in this study simultaneously exhibit the microstructural characteristics of those with high UTS and those with high TE that were respectively identified in previous studies.",0.370368,low,The comparative grain sizes implied no significant grain coarsening after heat treatment at elevated temperatures occurred in this LPBF-fabricated Al-Cu-Li-Sc-Zr alloy.
image_0002,3,../02_images/figures/image_0002.jpg,showing the (001) plane of $ { \mathrm { N i } _ { 7 } } { \mathrm { Z r } _ { 2 } }$ phase parallel to the (111) close-packed plane of the γ matrix.,0.386667,low,"Pyczak et al. [34] reported that in the Ni-based alloys with $1 0 – 3 0 \mathrm { v o l } . \% \mathrm { C r } , \mathrm { C r } _ { 2 } 0 _ { 3 }$ was observed as external scales above the grain boundaries in addition to internal $\mathrm { C r } _ { 2 } \mathrm { O } _ { 3 } ,$ which are both expected to form in our sintered parts with 21.2 wt.% of Cr [34].",0.38398,low,"Thus, the segregation of B atoms can improve the cohesive strength of the grain boundaries in present CCIMA and reduce the tendency of brittle morphologies of deformation substructures of the CCIMA at different strains. g, i High-resolution TEM and corresponding FFT images (insets) revealing the changes in the types of deformation substructures from APB-coupled superlattice dislocations (5%) to intersected SFs (35%). h Atomic-resolution STEM-HAADF image illustrating the existence of SISF at a strain of 15%.",0.376794,low,"Similar enrichment/- segregation behaviors at the inter-dendritic and grain boundaries (GBs) have been often found in some other AM-fabricated metallic materials [36,4345].",0.374613,low,Both AFM and SAXS results confirm that the Tg mismatch and differences in segmental mobility between the two poly(amic acid) components lead to spontaneous phase separation during film formation.,0.374266,low,TEM observations were used to study the microstructural evolution in the parallelepiped domains with tensile strains in ${ \sf G S } _ { 5 } ^ { 1 }$ sample.
chart_0003,4,../02_images/figures/chart_0003.jpg,"samples, (c) intensity ratio of the (220) and (200) diffraction peaks.",0.356922,low,"For JIS-SCM435 and JIS-SM490B, the magnitudes of $S _ { 0 }$ and $E _ { s }$ are taken from Ref. [70] by considering the data reported for similar steels (AISI 4130 and AISI 1020, respectively); namely: E = 27.2 kJ/mol, $S _ { 0 } ~ = ~ 1 0 2$ mol/m3³ √MPa (JIS-SCM435) and E = 23.54 kJ/mol, $S _ { 0 } ~ = ~ 1 5 9$ mol/m³ √MPa (JIS-SM490B).",0.353086,low,"The processing windows for high-density (>99.5%) metal nanocomposite samples were probed, and the key printing parameters are provided in Supplementary Table 1.",0.352328,low,A direct comparison of the mechanical properties and reported printing dimensions of Al-Feseries alloys is provided in Table S2.,0.351729,low,"Both H230AM and H230 samples showed a gradual decrease in the strength, and initially increases and then decreases in the ductility with increasing thermal exposure time.",0.351323,low,"The strength of H230AM samples is always higher than that of H230 under the same conditions, and the discrepancy in elongation between these two samples is within 5 %."
image_0004,5,../02_images/figures/image_0004.jpg,Fig. 7. Characteristics of $\mathrm { N i } _ { 7 } \mathrm { Z r } _ { 2 }$ phase in the microstructure of H230AM. (a) The respective SEM images show the size and distribution of $\mathrm { N i } _ { 7 } \mathrm { Z r } _ { 2 }$ phase in the between $ { \mathbf { N i } } _ { 7 } { \mathbf { Z r } } _ { 2 }$ phase and γ matrix.,0.574452,high,"To evaluate whether the solid electrolyte membrane enables uniform Li deposition and suppressed dendrite growth, the Li metal surface after 100 h of galvanostatic cycling was examined by SEM (Figs. 7fh).",0.556533,high,The SEM images of the films formed on the surfaces of Cu-free and Cu-containing steel samples after 14 days of corrosion in the SRBinoculated solution are shown in Fig. 7.,0.556092,high,LPBF fabrication with increasing laser energy density yields HEA materials composed of coarser grains (Fig. 7(a-c)).,0.547154,high,"The ultra-fine grains of LPBF-manufactured Al-Mg alloy contribute more to strength than $\mathrm { C G s } ^ { [ 4 5 ] } .$ Hence, the FEGs zone was further studied by EBSD in Figure 7 at a higher magnification.",0.539456,high,"TEM experiments (Supplementary Fig. 7) show a moderate dislocation density $\rho _ { d i s l }$ $4 . 7 \times 1 0 ^ { 1 3 } \mathrm { m } ^ { - 2 } \cdot 1 . 0 \times 1 0 ^ { 1 4 } \mathrm { m } ^ { - 2 } .$ Therefore, strengthening contribution from these dislocations can be estimated to be 25-36 MPa by:"
chart_0005,6,../02_images/figures/chart_0005.jpg,F. 8. ) Oxidatio knetc curve f H230 and H230AM; ) XRD paernsf H230 and H230Moxidizeor500 h.,0.373781,low,"Firstly, the strength increment is primarily ascribed to the highdensity nanoscale $\mathbf { L } 1 _ { 2 }$ precipitates in the wall $( \mathrm { F i g . ~ } 4 ) $ , As previously reported [28], introducing numerous L12 nanoparticles in NiCoFeAlTi-based HEA can achieve an ultrahigh strength together with a large ductility.",0.372497,low,"In both experiments and simulations, a higher susceptibility to hydrogen-assisted fatigue is observed in the case of JIS-SM490B, a steel with a higher solubility, where hydrogen reduces the number of cycles to failure by almost an order of magnitude.",0.370897,low,"Although their average friction coefficients are not significantly different, the wear mass loss of N1-LAG material (0.03 mg) is significantly lower than the other three materials, which is owing to the protection of the work hardening layer [57].",0.370639,low,"In any case, the pre-charged specimens tested in this work matched the uncharged behavior after approximately 30 h of test, which seems to indicate that hydrogen is retained in the highly stressed process zone ahead of the crack.",0.369561,low,"For comparison, we annealed the as-built copper nanocomposites at 1173 K for 6 h to crystallize the $\mathtt { B 4 C }$ nanoparticles."
chart_0006,7,../02_images/figures/chart_0006.jpg,line distribution from surface to matrix for the H230AM sample after 500 h of oxidation.,0.371351,low,"The solid solution hardening potential of Re, W, and Mo in SX Ni-based superalloys was experimentally quantified by Fleischmann et al. [17].",0.369525,low,"From FMCM-1 to FMCM-4, the characteristic diffraction peaks of $\mathsf { F e } _ { 3 } \mathsf { O } _ { 4 }$ at 30.1° (220), 35.7° (311), 43.3° (400), 57.3° (511) and 62.9° (440) gradually increased.",0.364634,low,"The atomic distributions of rare earth elements in $( n \mathbf { R } \mathbf { E } _ { x i } ) _ { 2 } \mathbf { S } \mathbf { i } _ { 2 } \mathbf { O } _ { 7 }$ samples were characterized by a double aberration-corrected scanning transmission electron microscope (STEM) (Titan Themis $\scriptstyle { { \mathsf { Z } } , }$ Thermo Fisher Scientific, Waltham, USA) equipped with high angle annular dark field (HAADF) detector and energy dispersive X-ray spectroscopy (EDS) systems.",0.363927,low,"From these results, the authors suggest the promotion of slow diffusers (especially W) to segregate along stacking faults as well as the formation of n phase along SESFs and χ phase along SISFs for optimal creep properties in future disk superalloys.",0.363927,low,"Since the passive films of both alloys are dominated by $\mathrm { C r } _ { 2 } 0 _ { 3 } \ ( \varepsilon _ { \mathrm { C r } _ { 2 } 0 _ { 3 } } = 2 5 )$ [49,50], Al203 εAl203 = 9) [51,52], and $\mathrm { T i O } _ { 2 } \left( \varepsilon _ { \mathrm { T i O } _ { 3 } } = 6 0 \right) ^ { - } [ \bar { 5 3 } ]$ (as we will demonstrate in the XPS section), their diélectric constants were calculated to be roughly the same, about 24.1."
